year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cc126546,ca,19,37887,white,black,nissan-infiniti lt,12050,19000,Monday,06-01-2014 12:30:00,GMT-0800,PST
2007,Dodge,Charger,RT,Sedan,automatic,2b3ka53h07h761901,ca,35,1,black,black,wells fargo dealer services,12450,1200,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx7eua39653,ca,45,29131,gray,black,ford motor credit company,16200,16700,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Escape,SE,SUV,automatic,1fmcu9g96eua24082,ca,43,26035,white,gray,ford motor credit company,18900,18600,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h78er301488,ca,44,23074,white,black,ford motor credit company,15400,16800,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1j56eef17694,ca,44,21062,black,beige,ford motor credit company,33500,31300,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k24el239723,ca,43,16579,gray,black,ford motor credit company,12600,13600,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k2xel239712,ca,48,15277,white,black,ford motor credit company,12650,13300,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e8xeg163753,ca,45,16230,gray,black,ford motor credit company,17600,18200,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Ford,Fiesta,Titanium,Hatchback,automatic,3fadp4fj8dm220595,ca,42,17391,gray,black,ford motor credit company llc pd,11250,12700,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xdr108516,ca,46,16158,black,black,ford motor credit company llc pd,14750,15800,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be5ca783013,ca,27,55953,gray,black,the hertz corporation,28600,40750,Monday,06-01-2014 12:30:00,GMT-0800,PST
2009,Jaguar,XF,Luxury,Sedan,automatic,sajwa05b39hr42352,ca,35,73334,black,gray,jaguar land rover north scottsdale,16750,17000,Monday,06-01-2014 12:00:00,GMT-0800,PST
2011,Lincoln,MKT,Base,Wagon,automatic,2lmhj5at0bbj52545,sc,38,77801,black,beige,pee dee auto buyers,18000,18000,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2010,Volvo,XC60,3.2,SUV,automatic,yv4982dl2a2124581,sc,41,84002,blue,tan,pee dee auto buyers,12300,13400,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2009,Ford,Fusion,SEL,Sedan,automatic,3fahp08z09r134348,ca,19,1,black,black,ford motor credit company llc,9850,16000,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
2014,Ford,F-250 Super Duty,XL,Crew Cab,automatic,1ft7w2b66eea10763,sc,42,19808,white,gray,enterprise veh exchange/rental,28100,26500,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k25el302876,tn,47,20163,black,gray,avis budget group,12500,11400,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
2007,Ford,Edge,SEL,SUV,automatic,2fmdk38c97bb22002,mi,49,81458,purple,black,kevins marysville auto sales inc,9450,3700,Wednesday,08-01-2014 09:30:00,GMT-0800,PST
2007,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdzk22c87s093619,sc,33,141965,beige,beige,pee dee auto buyers,6625,8000,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2006,Ford,F-150,STX,Regular Cab,automatic,1ftrf02w96kb52203,sc,35,100359,gray,gray,faulkner auto sales,6375,8300,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2004,Ford,F-250 Super Duty,Lariat,SuperCab,automatic,1ftnx20p14ec53525,sc,44,139133,blue,gray,dab auto world & leasing,8000,10500,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2004,Ford,F-150,FX4,SuperCab,automatic,1ftpx04594kc73142,sc,27,153730,blue,gray,primeritus remarketing/jack's auto sales,6150,6000,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6en337054,nc,41,45263,red,black,avis corporation,13450,13600,Monday,06-01-2014 09:15:00,GMT-0800,PST
2014,Ram,1500,R/T,Regular Cab,automatic,3c6jr6ct7eg128667,il,2,21689,black,black,chrysler group llc,23700,23000,Wednesday,15-01-2014 11:00:00,GMT-0800,PST
2014,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk3eu327266,sc,3,33959,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,16450,14800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Cadillac,ATS,Luxury,Sedan,automatic,1g6ab5ra5d0157989,sc,19,29538,silver,black,enterprise veh exchange/rental,19800,20300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2013,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e49du122060,pa,33,24562,silver,black,ge fleet services for itself/servicer,15800,28000,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx1dub69992,mi,48,15591,white,beige,ford motor credit company llc,16000,20800,Wednesday,08-01-2014 09:00:00,GMT-0800,PST
2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc9dbb21929,ca,45,27239,silver,black,ford motor credit company llc pd,16950,17500,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc3dbb11826,ca,42,31523,white,gray,ford motor credit company llc pd,20400,22900,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7dbb22117,ca,45,51650,black,black,ford motor credit company llc pd,18250,19300,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx3dub64342,ca,42,18783,gray,gray,ford motor credit company llc pd,15750,16400,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
2013,Suzuki,SX4,LE Popular Package,Sedan,automatic,js2yc5a31d6103095,pr,36,17022,gray,beige,oriental bank,7100,8500,Wednesday,08-01-2014 11:30:00,GMT-0800,PST
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc7cba82216,ca,19,1,silver,black,ford motor credit company llc,22800,30000,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f74ca015061,pa,33,31158,gray,tan,ahfc/honda lease trust/hvt  inc. eot,13800,11800,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h45cb021967,pa,42,35845,silver,gray,kentland car co inc,18200,13800,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ca044362,pa,38,36761,gray,black,mehdis car company,12150,11300,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h94cb010230,pa,43,35996,black,gray,ahfc/honda lease trust/hvt  inc. eot,26800,11700,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2012,Mazda,Mazda3,s Grand Touring,Sedan,automatic,jm1bl1w52c1695587,la,4,12852,red,black,jpmorgan chase bank n.a.,14450,14700,Tuesday,14-01-2014 11:00:00,GMT-0800,PST
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef4efc09466,ga,41,40447,silver,gray,triangle rent a car,25800,26800,Monday,06-01-2014 09:30:00,GMT-0800,PST
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f22el306975,ny,42,21542,blue,black,ford motor credit company,12100,12000,Tuesday,07-01-2014 09:20:00,GMT-0800,PST
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f29el302602,tx,41,24382,black,black,avis budget group,12000,13600,Tuesday,07-01-2014 11:00:00,GMT-0800,PST
2013,Ford,Mustang,GT,Coupe,manual,1zvbp8cf9d5281501,pa,46,26130,blue,black,all car care,22200,18500,Thursday,02-01-2014 09:00:00,GMT-0800,PST
2010,Acura,TSX,Base,Sedan,automatic,jh4cu4f68ac000198,sc,38,76360,gray,black,graham motor co,13300,14800,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2010,Chrysler,Town and Country,Limited Fleet,Minivan,automatic,2a4rr6dx0ar193338,sc,31,62715,white,gray,select auto sales,15850,15200,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2009,Saturn,VUE,XE,SUV,automatic,3gscl33p59s520476,ca,35,1,black,gray,wells fargo dealer services,9350,3800,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
2008,Ford,Mustang,Premium,Coupe,manual,1zvht80n785102105,tn,16,85570,red,black,wells fargo dealer services,6925,7500,Tuesday,07-01-2014 10:30:00,GMT-0800,PST
2014,Ford,Edge,Limited,SUV,automatic,2fmdk3kc3eba54351,ga,47,13121,white,brown,avis budget group,23800,24800,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2004,Chevrolet,Tahoe,LS,SUV,automatic,1gnec13z34r167684,sc,1,282549,white,beige,georgetown kraft credit union,1050,2300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j95eua71656,ga,49,27333,red,black,avis budget group,20600,21100,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j92eua39747,ga,45,31083,black,black,avis budget group,20100,20300,Monday,06-01-2014 09:30:00,GMT-0800,PST
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j91eua71668,ga,48,33820,white,black,avis budget group,19700,20500,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx0eua47187,ga,45,35494,gray,black,avis budget group,15800,16400,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j98eua71666,ga,47,19094,silver,black,avis budget group,21700,21700,Sunday,12-01-2014 10:00:00,GMT-0800,PST
2004,Porsche,Cayenne,Turbo,SUV,automatic,wp1ac29p74la91861,ca,28,114954,blue,black,elad motors,10950,11750,Monday,06-01-2014 12:30:00,GMT-0800,PST
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f85egc48783,ny,44,16849,black,black,ars/enterprise,32400,33500,Monday,06-01-2014 09:50:00,GMT-0800,PST
