vnd_id,vnd_vdr_id,car_id,mmr,sellingprice,state,diaSemana,data,fuso_horario,zona
1,1,1,12050,19000,ca,Monday,06-01-2014 12:30:00,GMT-0800,PST
2,2,2,12450,1200,ca,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
3,3,3,16200,16700,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
4,3,4,18900,18600,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
5,3,5,15400,16800,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
6,3,6,33500,31300,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
7,3,7,12600,13600,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
8,3,8,12650,13300,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
9,3,9,17600,18200,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
10,4,10,11250,12700,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
11,4,11,14750,15800,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
12,5,12,28600,40750,ca,Monday,06-01-2014 12:30:00,GMT-0800,PST
13,6,13,16750,17000,ca,Monday,06-01-2014 12:00:00,GMT-0800,PST
14,7,14,18000,18000,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
15,7,15,12300,13400,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
16,8,16,9850,16000,ca,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
17,9,17,28100,26500,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
18,10,18,12500,11400,tn,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
19,11,19,9450,3700,mi,Wednesday,08-01-2014 09:30:00,GMT-0800,PST
20,7,20,6625,8000,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
21,12,21,6375,8300,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
22,13,22,8000,10500,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
23,14,23,6150,6000,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
24,15,24,13450,13600,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
25,16,25,23700,23000,il,Wednesday,15-01-2014 11:00:00,GMT-0800,PST
26,17,26,16450,14800,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
27,9,27,19800,20300,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
28,18,28,15800,28000,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
29,8,29,16000,20800,mi,Wednesday,08-01-2014 09:00:00,GMT-0800,PST
30,4,30,16950,17500,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
31,4,31,20400,22900,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
32,4,32,18250,19300,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
33,4,33,15750,16400,ca,Tuesday,07-01-2014 13:00:00,GMT-0800,PST
34,19,34,7100,8500,pr,Wednesday,08-01-2014 11:30:00,GMT-0800,PST
35,8,35,22800,30000,ca,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
36,20,36,13800,11800,pa,Thursday,02-01-2014 09:00:00,GMT-0800,PST
