mrc_id,make
1,Kia
2,BMW
3,Volvo
4,Nissan
5,Chevrolet
6,Audi
7,Ford
8,Cadillac
9,Acura
10,Lexus
11,Hyundai
12,Buick
13,Infiniti
14,Jeep
15,Mercedes-Benz
16,Mitsubishi
17,Mazda
18,MINI
19,Land Rover
20,Lincoln
21,Jaguar
22,Volkswagen
23,Toyota
24,Subaru
25,Scion
26,Porsche
27,Dodge
28,FIAT
29,Chrysler
30,Ferrari
31,Honda
32,GMC
33,Ram
34,smart
35,Bentley
36,Pontiac
37,Saturn
38,Maserati
39,Mercury
40,HUMMER
41,Saab
42,Suzuki
43,Oldsmobile
44,Rolls-Royce
45,Isuzu
46,Tesla
47,Aston Martin
48,Geo
49,Plymouth
50,Fisker
51,Daewoo
52,Lamborghini
