mar_id,mod_mrc_id,model,trim,body,mod_trm_id
102,1,200SX,Base,Coupe,1
103,1,200SX,SE,Coupe,1
104,1,200SX,SE,Coupe,2
105,1,300ZX,GS,Hatchback,2
106,1,350Z,Base,Coupe,1
107,1,350Z,Base,Coupe,2
108,1,350Z,Enthusiast,Convertible,1
109,1,350Z,Enthusiast,Convertible,2
110,1,350Z,Touring,Convertible,1
111,1,350Z,Touring,Convertible,2
112,1,350Z,Touring,Coupe,1
113,1,350Z,Touring,Coupe,2
114,1,370Z,Base,Convertible,1
115,1,370Z,Base,Convertible,2
116,1,370Z,Base,Coupe,1
117,1,370Z,Base,Coupe,2
118,1,370Z,NISMO,Coupe,2
119,1,370Z,Touring,Convertible,1
120,1,370Z,Touring,Convertible,2
121,1,370Z,Touring,Coupe,1
122,1,370Z,Touring,Coupe,2
123,1,Altima,2.5,Sedan,1
124,1,Altima,2.5,Sedan,2
125,1,Altima,2.5,sedan,1
126,1,Altima,2.5 S,Coupe,1
127,1,Altima,2.5 S,Coupe,2
128,1,Altima,2.5 S,Sedan,2
129,1,Altima,2.5 S,sedan,1
130,1,Altima,2.5 SL,Sedan,1
131,1,Altima,2.5 SL,Sedan,2
132,1,Altima,3.5 S,Sedan,1
133,1,Altima,3.5 SE,Coupe,1
134,1,Altima,3.5 SE,Coupe,2
135,1,Altima,3.5 SE,Sedan,1
136,1,Altima,3.5 SE,Sedan,2
137,1,Altima,3.5 SE-R,Sedan,1
138,1,Altima,3.5 SE-R,Sedan,2
139,1,Altima,3.5 SL,Sedan,1
140,1,Altima,3.5 SR,Coupe,1
141,1,Altima,3.5 SR,Coupe,2
142,1,Altima,3.5 SR,Sedan,1
143,1,Altima,GLE,Sedan,1
144,1,Altima,GLE,Sedan,2
145,1,Altima,GXE,Sedan,1
146,1,Altima,GXE,Sedan,2
147,1,Altima,SE,Sedan,1
148,1,Altima,SE,Sedan,2
149,1,Altima,XE,Sedan,1
150,1,Altima,XE (1997.5),Sedan,1
151,1,Altima Hybrid,Base,Sedan,1
152,1,Armada,LE,SUV,1
153,1,Armada,Platinum,SUV,1
154,1,Armada,SE,SUV,1
155,1,Armada,SE Off-Road,SUV,1
156,1,Armada,SL,SUV,1
157,1,Armada,SV,SUV,1
158,1,Armada,Titanium,SUV,1
159,1,Cube,1.8 Base,Wagon,1
160,1,Cube,1.8 Base,Wagon,2
161,1,Cube,1.8 Krom,Wagon,1
162,1,Cube,1.8 S,Wagon,1
163,1,Cube,1.8 S,Wagon,2
164,1,Cube,1.8 S Krom Edition,Wagon,1
165,1,Cube,1.8 SL,Wagon,1
166,1,Cube,1.8 SL,Wagon,2
167,1,Frontier,Base,Regular Cab,2
168,1,Frontier,LE,Crew Cab,1
169,1,Frontier,LE,Crew Cab,2
170,1,Frontier,LE,King Cab,1
171,1,Frontier,Nismo,Crew Cab,1
172,1,Frontier,Nismo,King Cab,1
173,1,Frontier,PRO-4X,Crew Cab,1
174,1,Frontier,PRO-4X,Crew Cab,2
175,1,Frontier,PRO-4X,King Cab,1
176,1,Frontier,PRO-4X,King Cab,2
177,1,Frontier,S,Crew Cab,1
178,1,Frontier,S,Crew Cab,2
179,1,Frontier,S,King Cab,1
180,1,Frontier,S,King Cab,2
181,1,Frontier,SC-V6,Crew Cab,1
182,1,Frontier,SE,Crew Cab,1
183,1,Frontier,SE,Crew Cab,2
184,1,Frontier,SE,Extended Cab,1
185,1,Frontier,SE,King Cab,1
186,1,Frontier,SE,King Cab,2
187,1,Frontier,SE-V6,Crew Cab,1
188,1,Frontier,SE-V6,Crew Cab,2
189,1,Frontier,SE-V6,King Cab,1
190,1,Frontier,SE-V6,King Cab,2
191,1,Frontier,SE-V6 Desert Runner,King Cab,1
192,1,Frontier,SE-V6 Dessert Runner,King Cab,1
193,1,Frontier,SE-V6 Dessert Runner,King Cab,2
194,1,Frontier,SL,Crew Cab,1
195,1,Frontier,SV,Crew Cab,1
196,1,Frontier,SV,Crew Cab,2
197,1,Frontier,SV,King Cab,1
198,1,Frontier,SV,King Cab,2
199,1,Frontier,SVE-V6,Crew Cab,1
200,1,Frontier,Standard,King Cab,1
201,1,Frontier,Standard,King Cab,2
202,1,Frontier,XE,Crew Cab,1
203,1,Frontier,XE,Crew Cab,2
204,1,Frontier,XE,Extended Cab,1
205,1,Frontier,XE,Extended Cab,2
206,1,Frontier,XE,King Cab,1
207,1,Frontier,XE,King Cab,2
208,1,Frontier,XE,Regular Cab,1
209,1,Frontier,XE,Regular Cab,2
210,1,Frontier,XE Desert Runner,Extended Cab,1
211,1,Frontier,XE-V6,Crew Cab,1
212,1,Frontier,XE-V6,Crew Cab,2
213,1,Frontier,XE-V6,King Cab,1
214,1,Frontier,XE-V6 Dessert Runner,King Cab,2
215,1,GT-R,Black Edition,Coupe,1
216,1,GT-R,Premium,Coupe,1
217,1,GT-R,Track Edition,Coupe,1
218,1,Juke,NISMO,Hatchback,1
219,1,Juke,NISMO,Hatchback,2
220,1,Juke,NISMO RS,Hatchback,1
221,1,Juke,NISMO RS,Hatchback,2
222,1,Juke,S,Hatchback,1
223,1,Juke,SL,Hatchback,1
224,1,Juke,SL,Hatchback,2
225,1,Juke,SV,Hatchback,1
226,1,Juke,SV,Hatchback,2
227,1,Leaf,S,Hatchback,1
228,1,Leaf,SL,Hatchback,1
229,1,Leaf,SV,Hatchback,1
230,1,Maxima,3.5 S,Sedan,1
