vdr_id,seller
1,kia motors america  inc
2,financial services remarketing (lease)
3,volvo na rep/world omni
4,enterprise vehicle exchange / tra / rental / tulsa
5,the hertz corporation
6,audi mission viejo
7,d/m auto sales inc
8,desert auto trade
9,kia motors finance
10,audi north scottsdale
11,wells fargo dealer services
12,midway hfc fleet/ars
13,enterprise vehicle exchange/orange
14,audi of downtown l a
15,fratelli investment group
16,rogue cu
17,avis corporation
18,american honda motor company
19,lexus financial services
20,nissan-infiniti lt
21,audi west covina
22,street smartz auto sales corporation
23,avis rac/san leandro
24,ag leaseplan
25,onemain rem/m&m auto traders
26,repo remarketing/visterra credit union
27,tdaf remarketing
28,lease plan usa
29,ars/acme auto leasing
30,nissan infiniti lt
31,infiniti financial services
32,hyundai buybacks
33,hyundai motor america/co car
34,hyundai motor finance
35,aaero sweet company
36,gm financial
37,hertz/tra
38,dtg operations inc
39,fox rent a car tra
40,skyhigh remarketing inc
41,enterprise veh exchange/rental
42,remarketing by ge/film vehicle services
43,jpmorgan chase bank n.a.
44,clear view systems
45,mercedes-benz financial services
46,high bid trading co inc
47,exeter finance corp
48,primeritus remarketing/oregon comm credit
49,merchants leasing
50,nissan north america inc.
51,kia motors america  inc -lemon law buybacks
52,mercedes benz of temecula
53,mercedes-benz usa
54,california republic bank
55,remarketing by ge/manheim southern california
56,chrysler capital
57,team nissan
58,south bay hyundai
59,merchants automotive group
60,land rover north america llc
61,wheels exchange llc
62,caprock auto remarketing
63,mercedes benz of laguna niguel
64,sunshine autos
65,tycon enterprises
66,jaguar north america llc
67,hoehn motors inc
68,mercedes-benz finc services premier program
69,kia of cerritos
70,us bank
71,nissan dealer blend/ross nissan of el monte
72,ubs wholesale
73,vw credit
74,consolidated asset recovery systems  inc.
75,the car exchange
76,manheim san diego
77,gossler motors
78,nissan motor acceptance corporation
79,toyota financial services/avis budget group-open
80,stream llc dba stream remarketing solutions
81,american car finance inc
82,sierra auto investment co
83,porsche financial services
84,a l financial corporation
85,santander consumer
86,lbs financial credit union
87,volvo na company cars/world omni
88,lexus of valencia
89,onemain rem/coast to coast auto group
90,bmw of riverside
91,american road leasing inc
92,toyota financial services
93,bank of the west
94,fleet link services inc
95,volvo car financial service/world omni
96,honda of serramonte
97,l m auto wholesale
98,remarketing by ge/flagship credit acceptance
99,i auto sales inc
100,showcase wholesale auto llc
101,remarketing by ge/manheim riverside
102,ge fleet services for itself/servicer
103,black/white auto sales
104,advantage rent a car/hertz
105,ahfc/honda lease trust/hvt  inc. eot
106,walters auto sales/service inc
107,porsche of downtown la
108,ahfc/honda lease trust/hvt  inc.
109,mckenna audi/mckenna bmw
110,lexus of thousand oaks
111,ars/executive car leasing co
112,trade in solutions irvine
113,california auto exchange
114,ford motor credit company llc pd
115,remarketing by ge/chase lease remarketing co
116,hoehn honda
117,fiserv/usb dealer services northstar exchange
118,star ford lincoln
119,nvp remarketing
120,myrddin fleet services
121,mars auto
122,ford motor credit company llc
123,balboa thrift & loan association
124,orange county's credit union
125,galpin ford studio rentals
126,premium auto wholesale
127,san diego sports cars
128,the hertz corporation/gm
129,cig financial
130,california fleet inc
131,enterprise fm exchange/tra/lease
132,wholesale motor sales inc
133,fleet street remarketing llc
134,west coast acceptance
135,california rent-a-car & leasing
136,farm credit leasing exchange inc
137,buyers auto sales
138,remktgedge / cars / carfinance capital llc
139,m/r motors inc
140,bmw alphera/alphera financial services
141,tradewinds remarketing
142,the motor car group inc
143,chicago motor car corporation
144,connell chevrolet
145,frank toyota
146,barber honda
147,repo remarketing/central state credit union
148,north county hyundai
149,enterprise fleet management exchange  inc.
150,donlen corporation
151,bmw mini financial services
152,toyota scion of downtown la
153,dutton motor co
154,bell lexus
155,century dealer services corp
156,lease remarketing services inc
157,elad motors
158,remarketing by ge/southern california financial
159,jaguar land rover thousand oaks
160,mercedes benz of bakersfield
161,a and a auto mart inc
162,kearny pearson kia
163,remarketing by ge/mission fcu
164,remarketing by ge/xpress rent a car
165,autonet trading
166,sports trend auto sales
167,sama california auto export inc
168,rd cars
169,metro nissan of montclair
170,remarketing services of el paso
171,mercedes benz of ontario
172,orange coast chrysler jeep dodge
173,mercedes-benz finc wholesale advantage
174,downtown motors inc
175,rusnak pasadena jaguar sterling pasadena
176,prestige auto
177,porsche of hawaii
178,o'reilly auto parts
179,first investors servicing corp
180,prestige chrysler jeep dodge
181,mossy nissan oceanside
182,fletcher jones motorcars
183,phillips auto brokerage
184,onemain rem/delta dealer
185,remarketing by ge/manheim california
186,symbolic motor cars
187,meridian remarketing
188,volvo na lemon law/world omni
189,toyota santa monica
190,south coast toyota
191,onemain rem/european motors group
192,bmw of murrieta
193,manheim nevada
194,la costa auto sales
195,richard j bartlett jr enterprises
196,mckenna volks
197,800 loan mart
198,smith volvo inc
199,newport coast auto com
200,m and m enterprises
201,western fcu
202,repo remarketing/schools first fcu
203,remarketing by ge/golden 1 credit union
204,northwestern chrys/j/d/ge
205,wholesale enterprise inc
206,a l financial
207,rancho ford
208,bill pearce motors
209,ideal lease
210,robinson ford sales inc
211,onemain rem/access auto remarketing
212,ln auto center inc
213,fox rent a car
214,ecars
215,puklich chevrolet inc
216,fleet masters
217,larry h miller toyota corona
218,hertz corporation/gdp
219,enterprise holdings/gdp
220,s/s auto wholesale
221,honda of santa maria
222,pv holding inc/gdp
223,hertz damaged liquidation
224,repo remarketing/skyone fcu
