mar_id,mod_mrc_id,model,trim,body,mod_trm_id
4990,1,200SX,SE,coupe,1
4991,1,300ZX,Base,Hatchback,2
4992,1,350Z,Base,coupe,2
4993,1,350Z,Enthusiast,convertible,1
4994,1,350Z,Enthusiast,convertible,2
4995,1,350Z,Enthusiast,coupe,2
4996,1,350Z,NISMO,coupe,1
4997,1,350Z,Touring,convertible,1
4998,1,350Z,Touring,convertible,2
4999,1,370Z,Base,convertible,1
5000,1,370Z,Base,coupe,1
5001,1,370Z,Base,coupe,2
5002,1,370Z,NISMO,coupe,2
5003,1,370Z,Touring,convertible,1
5004,1,370Z,Touring,convertible,2
5005,1,370Z,Touring,coupe,1
5006,1,370Z,Touring,coupe,2
5007,1,Altima,2.5,sedan,2
5008,1,Altima,2.5 S,coupe,1
5009,1,Altima,2.5 S,coupe,2
5010,1,Altima,2.5 S,sedan,2
5011,1,Altima,2.5 SL,sedan,1
5012,1,Altima,2.5 SL,sedan,2
5013,1,Altima,2.5 SV,Sedan,1
5014,1,Altima,2.5 SV,sedan,1
5015,1,Altima,3.5 S,sedan,1
5016,1,Altima,3.5 SE,coupe,1
5017,1,Altima,3.5 SE,coupe,2
5018,1,Altima,3.5 SE,sedan,1
5019,1,Altima,3.5 SE-R,sedan,1
5020,1,Altima,3.5 SE-R,sedan,2
5021,1,Altima,3.5 SL,sedan,1
5022,1,Altima,3.5 SR,coupe,1
5023,1,Altima,3.5 SR,coupe,2
5024,1,Altima,3.5 SR,sedan,1
5025,1,Altima,GLE,sedan,1
5026,1,Altima,GXE,sedan,1
5027,1,Altima,SE,sedan,1
5028,1,Altima,XE (1997.5),sedan,1
5029,1,Altima Hybrid,Base,sedan,1
5030,1,Armada,LE,suv,1
5031,1,Armada,Platinum,suv,1
5032,1,Armada,SE,suv,1
5033,1,Armada,SE Off-Road,suv,1
5034,1,Armada,SL,suv,1
5035,1,Armada,SV,suv,1
5036,1,Armada,Titanium,suv,1
5037,1,Cube,1.8 Base,wagon,1
5038,1,Cube,1.8 Base,wagon,2
5039,1,Cube,1.8 S,wagon,1
5040,1,Cube,1.8 S,wagon,2
5041,1,Cube,1.8 S Krom Edition,wagon,1
5042,1,Cube,1.8 SL,wagon,1
5043,1,Cube,1.8 SL,wagon,2
5044,1,Frontier,LE,crew cab,1
5045,1,Frontier,LE,king cab,1
5046,1,Frontier,Nismo,Crew Cab,2
5047,1,Frontier,Nismo,crew cab,1
5048,1,Frontier,Nismo,crew cab,2
5049,1,Frontier,Nismo,king cab,1
5050,1,Frontier,PRO-4X,crew cab,1
5051,1,Frontier,S,crew cab,1
5052,1,Frontier,S,king cab,1
5053,1,Frontier,S,king cab,2
5054,1,Frontier,SE,crew cab,1
5055,1,Frontier,SE,crew cab,2
5056,1,Frontier,SE,king cab,1
5057,1,Frontier,SE,king cab,2
5058,1,Frontier,SE-V6,crew cab,1
5059,1,Frontier,SE-V6,crew cab,2
5060,1,Frontier,SE-V6,king cab,1
5061,1,Frontier,SE-V6,king cab,2
5062,1,Frontier,SL,crew cab,1
5063,1,Frontier,SV,crew cab,1
5064,1,Frontier,SV,crew cab,2
5065,1,Frontier,SV,king cab,1
5066,1,Frontier,SV,king cab,2
5067,1,Frontier,SVE-V6,crew cab,1
5068,1,Frontier,Standard,king cab,1
5069,1,Frontier,XE,king cab,1
5070,1,Frontier,XE,king cab,2
5071,1,Frontier,XE-V6,crew cab,1
5072,1,Frontier,XE-V6,crew cab,2
5073,1,Frontier,XE-V6,king cab,1
5074,1,Frontier,XE-V6 Dessert Runner,king cab,2
5075,1,GT-R,Base,coupe,1
5076,1,GT-R,Black Edition,coupe,1
5077,1,GT-R,Premium,coupe,1
5078,1,GT-R,Track Edition,coupe,1
5079,1,Juke,NISMO,hatchback,1
5080,1,Juke,NISMO,hatchback,2
5081,1,Juke,S,hatchback,1
5082,1,Juke,S,hatchback,2
5083,1,Juke,SL,hatchback,1
5084,1,Juke,SV,hatchback,1
5085,1,Juke,SV,hatchback,2
5086,1,Leaf,S,hatchback,1
5087,1,Leaf,SL,hatchback,1
5088,1,Leaf,SV,hatchback,1
5089,1,Maxima,3.5 S,sedan,1
5090,1,Maxima,3.5 SE,Sedan,2
5091,1,Maxima,3.5 SE,sedan,1
5092,1,Maxima,3.5 SL,sedan,1
5093,1,Maxima,3.5 SL,sedan,2
5094,1,Maxima,3.5 SV,sedan,1
5095,1,Maxima,GLE,Sedan,2
5096,1,Maxima,GLE,sedan,1
5097,1,Maxima,GLE,sedan,2
5098,1,Maxima,GXE,sedan,1
5099,1,Maxima,SE,sedan,1
5100,1,Maxima,SE,sedan,2
5101,1,Murano,LE,suv,1
5102,1,Murano,S,suv,1
5103,1,Murano,SE,suv,1
5104,1,Murano,SL,suv,1
5105,1,Murano,SV,suv,1
5106,1,Murano CrossCabriolet,Base,suv,1
5107,1,NV,1500 S,van,1
5108,1,NV,1500 SV,van,1
5109,1,NV,2500 SV,van,1
5110,1,NV Cargo,1500 S,van,1
5111,1,NV Cargo,3500 S,van,1
5112,1,NV Passenger,3500 SV,van,1
5113,1,Pathfinder,(1999.5) XE,suv,1
5114,1,Pathfinder,LE,suv,1
5115,1,Pathfinder,LE,suv,2
5116,1,Pathfinder,Platinum,suv,1
5117,1,Pathfinder,S,suv,1
5118,1,Pathfinder,SE,suv,1
5119,1,Pathfinder,SL,suv,1
5120,1,Pathfinder,SV,suv,1
5121,1,Pathfinder,XE,suv,1
5122,1,Quest,3.5 S,minivan,1
