vdr_id,seller
1,enterprise vehicle exchange / tra / rental / tulsa
2,kia motors america  inc
3,mercedes-benz usa
4,ahfc/honda lease trust/hvt  inc.
5,the hertz corporation
6,elad motors
7,fox rent a car tra
8,lithia hyundai of fresno
9,mercedes-benz finc wholesale advantage
10,enterprise veh exchange/rental
11,chrysler group/hertz/pv holding/000gd
12,toyota financial services
13,pro financial inc
14,hertz corporation/gdp
15,santander consumer
16,overland west inc
17,lester glenn buick
18,dt credit corporation
19,autonation chevrolet gulf freeway
20,wells fargo dealer services
21,1st commercial
22,shorecars llc
23,sac fcu
24,pra recievables management llc
25,all state motor inc
26,burnsville toyota
27,wheels & deals
28,north state acceptance
29,plaza hyundai ltd
30,automotive remarketing inc
31,california auto exchange
32,hertz remarketing
33,toyota of greenville
34,mcmb financial
35,select auto group
36,automart
37,credit acceptance corp/vrs/southfield
38,autosmart 2
39,road master auto group inc
40,nissan north america inc.
41,courtney leasing inc
42,mitsubishi north america
43,music city autoplex llc
44,ge fleet or gefs by apex fleet as agent
45,budget rent a car/atlanta
46,budget rent a car/east point
47,ford motor credit company llc
48,ford motor credit company llc pd
49,gm remarketing
50,boone trail autohaus
51,a v auto sales llc
52,fdic leasing
53,exeter finance corp
54,jordan ford ltd
55,ahfc/honda lease trust/hvt  inc. eot
56,nissan infiniti lt
57,nissan-infiniti lt
58,innovate auto finance
59,u haul
60,triangle rent a car
61,universal motors of miami inc
62,freeway ford llc
63,burt watson chevrolet inc
64,mercedes-benz financial services
65,t & k enterprises of mt airy inc
66,steve landers toyota
67,sheehy nissan of waldorf
68,easy car leasing llc dba brac of birmingham
69,carl h and ruth auto sales inc
70,atlanta auto distributors llc
71,startech
72,ford motor credit company
73,avis budget group
74,ipc investments inc
75,autonation mitsubishi
76,quality acceptance
77,us bank
78,avis rac/san leandro
79,budget rent a car/alabama
80,jpmorgan chase bank n.a.
81,butler kia
82,hyundai motor finance
83,county & municipal employees credit union
84,wheels exchange llc
85,veros credit
86,purple heart services inc
87,autonation chrysler dodge jeep ram pembroke pine
88,titlemax/san antonio tx24
89,hyundai motor america
90,avis corporation
91,security national automotive acceptance corp
92,american financial
93,pv holding inc/gdp
94,a l financial corporation
95,chrysler capital
96,orlando kia east
97,dupaco community credit union
98,manheim georgia
99,westlake financial services
100,chrysler group llc
101,hub hyundai west
102,car now acceptance co/columbus
103,budget of omaha/ars
104,subaru of america
105,dollar thrifty automotive group
106,financial services remarketing (lease)
107,remarketing by ge/flagship credit acceptance
108,autonation chevrolet coral gables
109,aaero sweet company
110,mercedes benz of laguna niguel
111,bryan honda
112,mercedes benz of miami
113,ace motor acceptance corporation
114,r m hollenshead auto sales inc
115,mmca  inc
116,ambar motors inc
117,tdaf remarketing
118,mills capitol auto sales inc
119,performance auto loans
120,ars/enterprise
121,lauderdale imports ltd bmw pembrok pines
122,enterprise vehicle exchange/dfw airport
123,kevin whitaker chevrolet cadillac
124,ars-cpo
125,sossa pre owned
126,bmw of el paso
127,arrowhead auto group inc
128,rii
129,pompano ford lincoln mercury
130,ars/thrifty car rental/greer
131,fiesta ford lincoln mercury
132,wells fargo dealer services-tra
133,lease plan usa/tra
134,capital one auto finance
135,select remarketing group llc/loan max title
136,fiserv/security national automotive accept corp
137,jack sherman toyota scion
138,capital chrysler jeep dodge llc
139,remarketing by ge/space coast credit union
140,td auto finance
141,world omni financial corporation
142,fleet lease remarketing
143,remarketing by ge/michigan schools & govt cu
144,suntrust bank public
145,tennyson chevrolet
146,persian acceptance corp
147,u-haul
