year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300,7200,Tuesday,07-07-2015 09:30:00,GMT-0700,PDT
2010,Mercedes-Benz,E-Class,E350,Sedan,automatic,wddhf5gb2aa236009,ca,43,43888,white,off-white,mercedes-benz usa,21500,23500,Tuesday,07-07-2015 09:30:00,GMT-0700,PDT
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h71dr349266,ca,26,1,white,black,fox rent a car tra,10000,3500,Thursday,02-07-2015 09:30:00,GMT-0700,PDT
2015,Chevrolet,Suburban,LT,SUV,automatic,1gnskjkc4fr158207,pa,4,19410,black,black,enterprise veh exchange/rental,11100,46400,Tuesday,07-07-2015 07:00:00,GMT-0700,PDT
2012,Scion,tC,Base,Hatchback,manual,jtkjf5c76c3044590,mo,38,26883,black,black,toyota financial services,12650,9000,Tuesday,07-07-2015 06:30:00,GMT-0700,PDT
2010,Chevrolet,Aveo,1LT,Sedan,automatic,kl1td5de7ab116331,tx,24,84436,gray,black,santander consumer,3375,3800,Wednesday,08-07-2015 07:00:00,GMT-0700,PDT
2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13047j143664,il,2,1,gray,black,wells fargo dealer services,17650,11200,Thursday,02-07-2015 07:00:00,GMT-0700,PDT
2007,Ford,F-150,XLT,SuperCrew,automatic,1ftrw14w37fb59029,fl,28,66511,white,gray,1st commercial,14400,10000,Tuesday,07-07-2015 06:15:00,GMT-0700,PDT
2014,Ford,Mustang,GT,Coupe,manual,1zvbp8cf9e5288370,ne,49,12735,burgundy,tan,sac fcu,24900,24500,Thursday,02-07-2015 08:00:00,GMT-0700,PDT
2006,Toyota,4Runner,Limited,SUV,automatic,jtebt17r768030645,mn,29,182113,blue,gray,burnsville toyota,9575,9000,Thursday,02-07-2015 07:30:00,GMT-0700,PDT
2013,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu5dl543428,pa,35,35284,black,black,budget rent a car/east point,14300,15900,Wednesday,08-07-2015 09:30:00,GMT-0700,PDT
2013,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt3dgb57416,mi,48,22073,white,black,ford motor credit company llc,18050,36200,Wednesday,01-07-2015 03:00:00,GMT-0700,PDT
2013,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,5tfju4gn3dx040300,tx,43,24224,black,gray,fdic leasing,25300,25000,Wednesday,01-07-2015 07:00:00,GMT-0700,PDT
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1arxcm390691,tn,37,39624,white,tan,nissan infiniti lt,23200,26800,Tuesday,07-07-2015 07:30:00,GMT-0700,PDT
2010,Chevrolet,Malibu,LTZ,Sedan,automatic,1g1ze5ebxaf239501,md,2,127314,silver,tan,sheehy nissan of waldorf,6225,6400,Thursday,02-07-2015 06:35:00,GMT-0700,PDT
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu7er294403,ga,37,29540,black,black,budget rent a car/alabama,16750,17000,Tuesday,07-07-2015 10:10:00,GMT-0700,PDT
2013,Ford,Edge,SE,SUV,automatic,2fmdk3gc3dba90743,ca,45,20641,black,black,ford motor credit company llc pd,14550,16700,Thursday,02-07-2015 09:30:00,GMT-0700,PDT
2013,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj0dm194760,ca,37,13156,black,black,ford motor credit company llc pd,27100,11000,Thursday,02-07-2015 09:30:00,GMT-0700,PDT
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc2cba93057,ca,35,39900,silver,black,ford motor credit company llc pd,10650,19200,Thursday,02-07-2015 09:00:00,GMT-0700,PDT
