vdr_id,seller
1,nissan-infiniti lt
2,wells fargo dealer services
3,ford motor credit company
4,ford motor credit company llc pd
5,the hertz corporation
6,jaguar land rover north scottsdale
7,pee dee auto buyers
8,ford motor credit company llc
9,enterprise veh exchange/rental
10,avis budget group
11,kevins marysville auto sales inc
12,faulkner auto sales
13,dab auto world & leasing
14,primeritus remarketing/jack's auto sales
15,avis corporation
16,chrysler group llc
17,enterprise vehicle exchange / tra / rental / tulsa
18,ge fleet services for itself/servicer
19,oriental bank
20,ahfc/honda lease trust/hvt  inc. eot
21,kentland car co inc
22,mehdis car company
23,jpmorgan chase bank n.a.
24,triangle rent a car
25,all car care
26,graham motor co
27,select auto sales
28,georgetown kraft credit union
29,elad motors
30,ars/enterprise
31,kia motors america  inc
32,palmetto health credit union
33,gm remarketing
34,tdaf remarketing/gateway auto & truck
35,north state acceptance
36,hyundai motor america
37,south carolina state credit union
38,carolina trust fcu
39,automobile acceptance corp
40,primeritus remarketing/farm bureau
41,myrddin fleet services
42,motors acceptance corporation
43,jd byrider/cnac
44,crossroads ford inc
45,dtg operations inc
46,hyundai motor america/co car
47,hyundai motor finance
48,alans autos
49,blackmons automotive llc
50,nextgear capital
51,pra receivables management llc
52,bethpage fcu
53,enterprise fleet management exchange  inc.
54,enterprise-tra
55,financial services remarketing (lease)
56,premium auto wholesale
